antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
levofloxacin	99	0.57	1	0.6	0.2	NA	1.00E-04	0.2	0.83	0.74	0.81	0.81	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
meropenem	154	0.31	1	0.6	0.2	NA	0.1	0.6	0.46	1.09	0.65	0.74	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
piperacillin/tazobactam	190	0.93	1	0.6	0.2	NA	1.00E-04	0	0.97	0.09	0.5	NA	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tetracycline	65	0.37	1	0.6	0.2	NA	0.04641588834	0.2	0.89	1.3	0.9	0.92	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tigecycline	128	0.27	1	0.6	0.2	NA	0.0215443469	0.2	0.53	1.15	0.68	0.67	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tobramycin	158	0.66	1	0.6	0.2	NA	1.00E-04	0	0.78	0.51	0.79	0.77	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimethoprim/sulfamethoxazole	89	0.53	1	0.6	0.2	NA	1.00E-04	0.2	1	0.92	1	1	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimotheprim	112	0.29	1	0.6	0.2	NA	1.00E-04	0.2	0.6	1.35	0.71	0.79	2025-05-19	Esp.	gene_all_binary	gene	drug	all_binary	#e6ab02	22
aminoglycosides	211	0.62	1	0.6	0.2	NA	1.00E-04	0	0.91	0.65	0.85	0.88	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
amphenicols	15	0.47	1	0.6	0.2	NA	1.00E-04	0	0.8	0.75	0.75	0.79	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
carbapenems	257	0.83	1	0.6	0.2	NA	0.1	0.6	0.88	0.1	0.54	0.63	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
fluoroquinolones	117	0.62	1	0.6	0.2	NA	0.1	0.8	0.91	0.63	0.83	0.87	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
tetracyclines	163	0.35	1	0.6	0.2	NA	0.1	0.4	0.24	-0.13	0.52	0.52	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
trimethoprim/sulfonamides	89	0.53	1	0.6	0.2	NA	0.1	1	0.84	0.86	0.84	0.84	2025-05-20	Esp.	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
amikacin	2664	0.16	1	0.6	0.2	NA	0.00215443469	1	0.79	2.41	0.86	0.88	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
aminogycosides	127	0.61	1	0.6	0.2	NA	1.00E-04	0	0.91	0.68	0.85	0.88	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	0.01	0.6	0.94	0.33	0.86	0.86	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	1.00E-04	0.8	0.94	0.19	0.74	0.78	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
aztreonam	2289	0.82	1	0.6	0.2	NA	0.004641588834	0.6	0.9	0.21	0.71	0.73	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
beta-lactam	127	0.66	1	0.6	0.2	NA	1.00E-04	0	0.85	0.56	0.8	0.79	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	0	0.94	0.06	0.5	NA	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefazolin	2370	0.82	1	0.6	0.2	NA	0.00215443469	1	0.95	0.27	0.83	0.85	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefepime	2264	0.63	1	0.6	0.2	NA	1.00E-04	0	0.85	0.55	0.75	0.78	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefotaxime	1422	0.71	1	0.6	0.2	NA	0.0215443469	0.4	0.91	0.46	0.84	0.84	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.74	1.58	0.84	0.82	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefoxitin	2253	0.54	1	0.6	0.2	NA	1.00E-04	0.2	0.83	0.7	0.82	0.82	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefpodoxime	294	0.74	1	0.6	0.2	NA	0.01	1	0.79	0.22	0.66	0.65	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	0.1	0.2	0.91	0.17	0.57	0.61	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftazidime	3281	0.72	1	0.6	0.2	NA	0.01	0.8	0.94	0.44	0.88	0.89	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	1.00E-04	0	0.83	1.83	0.85	0.9	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	1.00E-04	0	0.85	0.6	0.78	0.79	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftriaxone	2340	0.82	1	0.6	0.2	NA	0.004641588834	0.4	0.95	0.27	0.84	0.87	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	0.1	1	0.62	0.74	0.58	0.58	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefuroxime	1668	0.93	1	0.6	0.2	NA	1.00E-04	0.4	0.97	0.1	0.68	0.72	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
cephalothin	168	0.79	1	0.6	0.2	NA	1.00E-04	0.4	0.89	0.22	0.67	0.72	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
chloramphenicol	329	0.69	1	0.6	0.2	NA	1.00E-04	0	0.87	0.42	0.72	0.76	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	0.0215443469	0.2	0.93	0.54	0.91	0.9	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
colistin	1266	0.23	1	0.6	0.2	NA	1.00E-04	0.8	0.61	1.48	0.76	0.75	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
doripenem	233	0.89	1	0.6	0.2	NA	0.1	0.8	0.92	0.08	0.5	NA	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
doxycycline	141	0.32	1	0.6	0.2	NA	0.04641588834	0.8	0.67	1.32	0.75	0.79	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ertapenem	1382	0.65	1	0.6	0.2	NA	0.01	0.8	0.93	0.59	0.9	0.9	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	0.04641588834	0.4	0.88	1.15	0.9	0.9	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.1	0.8	0.74	0.52	0.62	0.64	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
fosfomycin	270	0.26	1	0.6	0.2	NA	0.01	1	0.56	1.28	0.7	0.73	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
gentamicin	3662	0.38	1	0.6	0.2	NA	1.00E-04	0.4	0.79	1.11	0.83	0.83	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
imipenem	2199	0.46	1	0.6	0.2	NA	1.00E-04	0.6	0.87	1.02	0.88	0.88	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
kanamycin	82	0.93	1	0.6	0.2	NA	1.00E-04	0	1	0.1	NA	NA	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
levofloxacin	2009	0.79	1	0.6	0.2	NA	0.0215443469	0.4	0.95	0.33	0.88	0.89	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
meropenem	3520	0.33	1	0.6	0.2	NA	1.00E-04	1	0.84	1.48	0.87	0.88	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
minocycline	87	0.22	1	0.6	0.2	NA	1.00E-04	0	0.67	1.4	0.76	0.78	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
moxifloxacin	92	0.42	1	0.6	0.2	NA	0.0215443469	0.2	0.57	0.54	0.66	0.67	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
nalidixic acid	157	0.64	1	0.6	0.2	NA	1.00E-04	1	0.83	0.54	0.68	0.73	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
nitrofurantoin	1123	0.82	1	0.6	0.2	NA	0.04641588834	0.2	0.89	0.23	0.67	0.7	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
norfloxacin	186	0.15	1	0.6	0.2	NA	1.00E-04	0.2	0.89	2.6	0.9	0.94	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
piperacillin/tazobactam	2505	0.68	1	0.6	0.2	NA	0.01	0.4	0.88	0.47	0.82	0.82	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
polymyxin B	233	0.21	1	0.6	0.2	NA	1.00E-04	0	0.76	2.1	0.82	0.85	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
streptomycin	74	0.69	1	0.6	0.2	NA	1.00E-04	1	1	0.54	1	1	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
tetracycline	1705	0.53	1	0.6	0.2	NA	0.004641588834	1	0.78	0.63	0.76	0.76	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
ticarcillin/clavulanic acid	239	0.42	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.22	0.94	0.94	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
tigecycline	1114	0.23	1	0.6	0.2	NA	0.004641588834	0.6	0.59	1.31	0.73	0.73	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
tobramycin	2179	0.58	1	0.6	0.2	NA	1.00E-04	0.2	0.85	0.62	0.82	0.82	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
trimethoprim	251	0.44	1	0.6	0.2	NA	0.1	0.6	0.86	1.1	0.88	0.88	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
trimethoprim/sulfamethoxazole	3317	0.67	1	0.6	0.2	NA	0.0215443469	0.2	0.88	0.47	0.8	0.81	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
trimethoprim/sulfobactam	225	0.33	1	0.6	0.2	NA	0.004641588834	1	0.81	1.35	0.85	0.87	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
trimotheprim	127	0.72	1	0.6	0.2	NA	0.1	0.4	0.81	-0.02	0.52	0.53	2025-05-24	Kpn	domain_all_binary	domain	drug	all_binary	#66a61e	22
aminoglycosides	3860	0.56	1	0.6	0.2	NA	1.00E-04	1	0.85	0.7	0.83	0.83	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
amphenicols	342	0.7	1	0.6	0.2	NA	0.04641588834	1	0.88	0.46	0.75	0.78	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
carbapenems	3816	0.39	1	0.6	0.2	NA	0.0215443469	0.2	0.85	1.25	0.87	0.88	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
cephalosporins	2914	0.83	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.25	0.83	0.83	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
fluoroquinolones	3608	0.67	1	0.6	0.2	NA	1.00E-04	0.8	0.93	0.55	0.88	0.88	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
monobactams	2289	0.83	1	0.6	0.2	NA	0.0215443469	0.6	0.94	0.22	0.72	0.8	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
nitrofuran-derivatives	1123	0.82	1	0.6	0.2	NA	1.00E-04	0.2	0.93	0.26	0.71	0.73	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
penicillins/beta-lactamase-inhibitor	2863	0.82	1	0.6	0.2	NA	0.01	0.4	0.95	0.26	0.84	0.85	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
phosphonic acid antibacterial	270	0.26	1	0.6	0.2	NA	0.01	1	0.56	1.28	0.7	0.73	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
polymyxin	1422	0.23	1	0.6	0.2	NA	1.00E-04	0.2	0.66	1.65	0.77	0.78	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
quinolones	157	0.64	1	0.6	0.2	NA	1.00E-04	1	0.83	0.54	0.68	0.73	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
tetracyclines	2665	0.44	1	0.6	0.2	NA	0.1	0.2	0.63	0.75	0.69	0.7	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
trimethoprim-derivatives	251	0.44	1	0.6	0.2	NA	0.1	0.6	0.86	1.1	0.88	0.88	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
trimethoprim/sulfonamides	3317	0.67	1	0.6	0.2	NA	0.0215443469	0.2	0.87	0.43	0.77	0.79	2025-05-23	Kpn	domain_all_binary_class	domain	drug_class	all_binary	#66a61e	22
amikacin	2664	0.16	1	0.6	0.2	NA	0.0215443469	0.6	0.76	2.41	0.83	0.86	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
aminogycosides	127	0.61	1	0.6	0.2	NA	0.1	0.8	0.9	0.71	0.91	0.9	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
amoxicillin/clavulanic acid	864	0.79	1	0.6	0.2	NA	1.00E-04	0.2	0.95	0.33	0.86	0.89	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ampicillin/sulbactam	1897	0.87	1	0.6	0.2	NA	0.01	1	0.97	0.2	0.85	0.88	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
aztreonam	2289	0.82	1	0.6	0.2	NA	0.0215443469	0.8	0.95	0.26	0.83	0.87	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
beta-lactam	127	0.66	1	0.6	0.2	NA	1.00E-04	0.6	0.9	0.58	0.91	0.89	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
carbenicillin	89	0.94	1	0.6	0.2	NA	1.00E-04	0	0.94	0.09	0.5	NA	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefazolin	2370	0.82	1	0.6	0.2	NA	0.0215443469	0.8	0.98	0.29	0.93	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefepime	2264	0.63	1	0.6	0.2	NA	0.1	0.2	0.88	0.56	0.83	0.83	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefotaxime	1422	0.71	1	0.6	0.2	NA	0.0215443469	0.8	0.96	0.49	0.95	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefotetan	144	0.27	1	0.6	0.2	NA	1.00E-04	0.2	0.75	1.74	0.83	0.83	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefoxitin	2253	0.54	1	0.6	0.2	NA	1.00E-04	0.6	0.86	0.78	0.85	0.85	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefpodoxime	294	0.74	1	0.6	0.2	NA	1.00E-04	1	0.88	0.38	0.85	0.82	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefpodoxime_clavulanic_acid	188	0.87	1	0.6	0.2	NA	1.00E-04	0	0.91	0.19	0.57	0.61	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ceftazidime	3281	0.72	1	0.6	0.2	NA	0.0215443469	0.4	0.97	0.46	0.94	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ceftazidime/avibactam	327	0.25	1	0.6	0.2	NA	0.1	0.6	0.87	1.93	0.88	0.92	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ceftolozane/tazobactam	147	0.62	1	0.6	0.2	NA	1.00E-04	0.4	0.92	0.68	0.91	0.9	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ceftriaxone	2340	0.82	1	0.6	0.2	NA	1.00E-04	0.6	0.99	0.29	0.98	0.97	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ceftriaxone/cefpodoxime	53	0.51	1	0.6	0.2	NA	1.00E-04	0.2	1	0.97	1	1	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cefuroxime	1668	0.93	1	0.6	0.2	NA	0.04641588834	0.8	0.98	0.1	0.77	0.83	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
cephalothin	168	0.79	1	0.6	0.2	NA	0.01	1	0.91	0.33	0.77	0.79	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
chloramphenicol	329	0.69	1	0.6	0.2	NA	0.04641588834	1	0.86	0.42	0.76	0.77	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	0.04641588834	0.2	0.95	0.54	0.93	0.92	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
colistin	1266	0.23	1	0.6	0.2	NA	1.00E-04	0	0.59	1.69	0.73	0.75	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
doripenem	233	0.89	1	0.6	0.2	NA	1.00E-04	0	0.92	0.08	0.5	NA	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
doxycycline	141	0.32	1	0.6	0.2	NA	0.1	0.4	0.57	1.19	0.7	0.74	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ertapenem	1382	0.65	1	0.6	0.2	NA	0.04641588834	0.8	0.98	0.62	0.98	0.97	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	1.00E-04	0.4	0.94	1.22	0.94	0.95	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.1	0.6	0.74	0.25	0.62	0.64	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
fosfomycin	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.52	1.43	0.68	0.72	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
gentamicin	3662	0.38	1	0.6	0.2	NA	0.04641588834	0.2	0.93	1.35	0.94	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
imipenem	2199	0.46	1	0.6	0.2	NA	0.01	0.6	0.94	1.06	0.94	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
kanamycin	82	0.93	1	0.6	0.2	NA	1.00E-04	0	1	0.1	NA	NA	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
levofloxacin	2009	0.79	1	0.6	0.2	NA	1.00E-04	0	0.96	0.33	0.9	0.9	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
meropenem	3520	0.33	1	0.6	0.2	NA	0.01	1	0.93	1.56	0.94	0.95	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
minocycline	87	0.22	1	0.6	0.2	NA	1.00E-04	0	0.8	2.06	0.86	0.86	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
moxifloxacin	92	0.42	1	0.6	0.2	NA	0.0215443469	0.2	0.36	0.72	0.58	0.61	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
nalidixic acid	157	0.64	1	0.6	0.2	NA	0.0215443469	0.6	0.76	0.46	0.59	0.61	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
nitrofurantoin	1123	0.82	1	0.6	0.2	NA	0.1	0.2	0.9	0.24	0.7	0.74	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
norfloxacin	186	0.15	1	0.6	0.2	NA	1.00E-04	0.2	0.89	2.68	0.9	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
piperacillin/tazobactam	2505	0.68	1	0.6	0.2	NA	1.00E-04	0.4	0.91	0.5	0.87	0.86	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
polymyxin B	233	0.21	1	0.6	0.2	NA	1.00E-04	0	0.91	2.21	0.92	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
streptomycin	74	0.69	1	0.6	0.2	NA	1.00E-04	0.2	1	0.54	1	1	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tetracycline	1705	0.53	1	0.6	0.2	NA	0.04641588834	0.4	0.83	0.81	0.83	0.83	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
ticarcillin/clavulanic acid	239	0.42	1	0.6	0.2	NA	1.00E-04	0.2	0.93	1.24	0.94	0.94	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tigecycline	1114	0.23	1	0.6	0.2	NA	0.04641588834	0.2	0.63	1.63	0.74	0.77	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
tobramycin	2179	0.58	1	0.6	0.2	NA	1.00E-04	0.4	0.93	0.73	0.92	0.92	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimethoprim	251	0.44	1	0.6	0.2	NA	0.0215443469	0.6	0.88	1.13	0.9	0.9	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimethoprim/sulfamethoxazole	3317	0.67	1	0.6	0.2	NA	0.1	0.2	0.95	0.56	0.91	0.92	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimethoprim/sulfobactam	225	0.33	1	0.6	0.2	NA	0.1	1	0.85	1.57	0.87	0.9	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
trimotheprim	127	0.72	1	0.6	0.2	NA	1.00E-04	0.6	0.93	0.24	0.79	0.85	2025-05-23	Kpn	gene_all_binary	gene	drug	all_binary	#e6ab02	22
aminoglycosides	3860	0.56	1	0.6	0.2	NA	0.01	0.4	0.9	0.78	0.9	0.89	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
amphenicols	342	0.7	1	0.6	0.2	NA	1.00E-04	0.4	0.92	0.49	0.84	0.86	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
carbapenems	3816	0.39	1	0.6	0.2	NA	0.0215443469	0.4	0.94	1.33	0.95	0.95	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
cephalosporins	2914	0.83	1	0.6	0.2	NA	0.01	0.8	0.97	0.27	0.91	0.92	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
fluoroquinolones	3608	0.67	1	0.6	0.2	NA	0.004641588834	0.6	0.95	0.56	0.92	0.92	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
monobactams	2289	0.83	1	0.6	0.2	NA	0.04641588834	0.4	0.96	0.24	0.81	0.87	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
nitrofuran-derivatives	1123	0.82	1	0.6	0.2	NA	1.00E-04	0	0.93	0.26	0.69	0.74	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
penicillins/beta-lactamase-inhibitor	2863	0.82	1	0.6	0.2	NA	1.00E-04	0.6	0.95	0.26	0.84	0.86	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
phosphonic acid antibacterial	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.52	1.43	0.68	0.72	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
polymyxin	1422	0.23	1	0.6	0.2	NA	1.00E-04	0.2	0.58	1.65	0.71	0.74	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
quinolones	157	0.64	1	0.6	0.2	NA	0.0215443469	0.6	0.76	0.46	0.59	0.61	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
tetracyclines	2665	0.44	1	0.6	0.2	NA	0.01	1	0.78	0.93	0.8	0.81	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
trimethoprim-derivatives	251	0.44	1	0.6	0.2	NA	0.0215443469	0.6	0.88	1.13	0.9	0.9	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
trimethoprim/sulfonamides	3317	0.67	1	0.6	0.2	NA	1.00E-04	0.2	0.94	0.55	0.91	0.91	2025-05-22	Kpn	gene_all_binary_class	gene	drug_class	all_binary	#e6ab02	22
amikacin	694	0.18	1	0.6	0.2	NA	1.00E-04	0.2	0.53	2	0.7	0.72	2025-05-22	Pae	domain_all_binary	domain	drug	all_binary	#66a61e	22
aztreonam	217	0.49	1	0.6	0.2	NA	0.1	0.8	0.62	0.59	0.64	0.64	2025-05-22	Pae	domain_all_binary	domain	drug	all_binary	#66a61e	22
cefepime	254	0.47	1	0.6	0.2	NA	0.04641588834	0.8	0.6	0.6	0.66	0.66	2025-05-22	Pae	domain_all_binary	domain	drug	all_binary	#66a61e	22
ceftazidime	829	0.46	1	0.6	0.2	NA	0.004641588834	1	0.69	0.67	0.71	0.71	2025-05-22	Pae	domain_all_binary	domain	drug	all_binary	#66a61e	22
