antibiotic	num_obs	res_prop	lab_derived_prop	train_prop	val_prop	n_fold	fit_penalty	fit_mixture	f1_score	log2_apop	bal_acc	mcc	date	bug	model	model_scale	model_drug	model_data	model_colors	model_shapes
cefuroxime	1668	0.93	1	0.6	0.2	NA	0.1	0.2	0.98	0.1	0.77	0.83	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
cephalothin	168	0.79	1	0.6	0.2	NA	1.00E-04	0	0.87	0.25	0.5	NA	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
chloramphenicol	329	0.69	1	0.6	0.2	NA	1.00E-04	0	0.85	0.43	0.73	0.75	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ciprofloxacin	3558	0.68	1	0.6	0.2	NA	1.00E-04	0.2	0.95	0.54	0.93	0.93	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
colistin	1266	0.23	1	0.6	0.2	NA	1.00E-04	0.6	0.66	1.71	0.78	0.79	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
doripenem	233	0.89	1	0.6	0.2	NA	0.04641588834	0.2	0.91	-0.02	0.49	0.47	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
doxycycline	141	0.32	1	0.6	0.2	NA	1.00E-04	0.2	0.67	1.27	0.75	0.79	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
ertapenem	1382	0.65	1	0.6	0.2	NA	0.1	0.2	0.97	0.62	0.96	0.95	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
extended spectrum beta lactamase	403	0.42	1	0.6	0.2	NA	0.04641588834	0.4	0.87	1.21	0.89	0.9	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
fluoroquinolones	127	0.57	1	0.6	0.2	NA	0.1	1	0.76	0.54	0.66	0.68	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
fosfomycin	270	0.26	1	0.6	0.2	NA	1.00E-04	0.2	0.58	1.37	0.71	0.75	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
gentamicin	3662	0.38	1	0.6	0.2	NA	0.01	0.8	0.9	1.31	0.92	0.92	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
imipenem	2199	0.46	1	0.6	0.2	NA	1.00E-04	0.2	0.92	1.06	0.93	0.93	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
kanamycin	82	0.93	1	0.6	0.2	NA	1.00E-04	0	1	0.1	NA	NA	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
levofloxacin	2009	0.79	1	0.6	0.2	NA	1.00E-04	0	0.95	0.33	0.87	0.88	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
meropenem	3520	0.33	1	0.6	0.2	NA	0.01	0.4	0.89	1.53	0.91	0.92	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
minocycline	87	0.22	1	0.6	0.2	NA	1.00E-04	0	0.8	2.13	0.86	0.86	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
moxifloxacin	92	0.42	1	0.6	0.2	NA	1.00E-04	1	0.17	0.16	0.43	0.41	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
nalidixic acid	157	0.64	1	0.6	0.2	NA	1.00E-04	0.4	0.8	0.49	0.66	0.69	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
nitrofurantoin	1123	0.82	1	0.6	0.2	NA	0.1	0.4	0.89	0.24	0.67	0.72	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
norfloxacin	186	0.15	1	0.6	0.2	NA	1.00E-04	0.2	0.75	2.74	0.8	0.88	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
piperacillin/tazobactam	2505	0.68	1	0.6	0.2	NA	1.00E-04	0	0.92	0.48	0.86	0.87	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
polymyxin B	233	0.21	1	0.6	0.2	NA	1.00E-04	0.2	0.86	2.22	0.88	0.92	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
streptomycin	74	0.69	1	0.6	0.2	NA	1.00E-04	0	1	0.54	1	1	2025-05-24	Kpn	gene_all_struct	gene	drug	all_genomic_context	#e6ab02	23
